Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total
1,United States of America,7,3,4,14,2
2,Japan,7,1,3,11,3
3,People's Republic of China,6,3,6,15,1
4,Great Britain,3,2,1,6,7
5,Republic of Korea,3,0,4,7,6
6,ROC,2,5,3,10,4
7,Australia,2,1,3,6,7
8,Kosovo,2,0,0,2,15
9,Italy,1,3,4,8,5
10,France,1,2,2,5,9
11,Canada,1,2,1,4,10
12,Hungary,1,1,0,2,15
12,Tunisia,1,1,0,2,15
14,Slovenia,1,0,1,2,15
15,Austria,1,0,0,1,29
15,Ecuador,1,0,0,1,29
15,Islamic Republic of Iran,1,0,0,1,29
15,Norway,1,0,0,1,29
15,Thailand,1,0,0,1,29
15,Uzbekistan,1,0,0,1,29
21,Netherlands,0,3,0,3,12
22,Chinese Taipei,0,2,2,4,10
23,Brazil,0,2,1,3,12
24,Georgia,0,2,0,2,15
25,Czech Republic,0,1,1,2,15
25,Spain,0,1,1,2,15
25,Indonesia,0,1,1,2,15
25,Serbia,0,1,1,2,15
25,Switzerland,0,1,1,2,15
30,Belgium,0,1,0,1,29
30,Bulgaria,0,1,0,1,29
30,Colombia,0,1,0,1,29
30,Denmark,0,1,0,1,29
30,India,0,1,0,1,29
30,Romania,0,1,0,1,29
36,Germany,0,0,3,3,12
37,Kazakhstan,0,0,2,2,15
37,Mongolia,0,0,2,2,15
37,Turkey,0,0,2,2,15
37,Ukraine,0,0,2,2,15
41,Côte d'Ivoire,0,0,1,1,29
41,Croatia,0,0,1,1,29
41,Egypt,0,0,1,1,29
41,Estonia,0,0,1,1,29
41,Israel,0,0,1,1,29
41,Kuwait,0,0,1,1,29
41,Mexico,0,0,1,1,29
41,New Zealand,0,0,1,1,29
